stage,epoch,learning_rate,train_count,train_mae_samples,train_rmse_samples,train_p95_samples,train_mae_us,train_p95_us,train_within_1_samples,train_within_2_samples,train_within_4_samples,train_within_8_samples,train_within_16_samples,train_loss,val_count,val_mae_samples,val_rmse_samples,val_p95_samples,val_mae_us,val_p95_us,val_within_1_samples,val_within_2_samples,val_within_4_samples,val_within_8_samples,val_within_16_samples,val_loss
pretrain,1,0.002,4716,1828.2186279296875,2741.495361328125,5356.52587890625,1462.57490234375,4285.220703125,0.02120441012084484,0.05067854002118111,0.09817641973495483,0.1759966015815735,0.2716284990310669,5.180272406822926,510,2866.4111328125,3211.0615234375,4446.45068359375,2293.12890625,3557.160546875,0.007843137718737125,0.021568628028035164,0.04117647185921669,0.054901961237192154,0.062745101749897,6.534347474575043
pretrain,2,0.002,4716,1137.7816162109375,2019.2279052734375,4520.740234375,910.22529296875,3616.5921875,0.051738761365413666,0.10305343568325043,0.18977947533130646,0.31679388880729675,0.4200593829154968,3.8902000285483695,510,1835.483642578125,2520.5009765625,4389.234375,1468.3869140625,3511.3875,0.05882352963089943,0.09803921729326248,0.1509803980588913,0.2294117659330368,0.2980392277240753,4.99459807574749
pretrain,3,0.002,4716,1051.760986328125,1937.5284423828125,4386.84423828125,841.4087890625,3509.475390625,0.06933842599391937,0.13040712475776672,0.2332485169172287,0.35156911611557007,0.4480491876602173,3.5607598005114376,510,1652.7049560546875,2535.94873046875,5149.87744140625,1322.16396484375,4119.901953125,0.06078431382775307,0.10588235408067703,0.2235294133424759,0.3078431487083435,0.37254902720451355,4.1194296553730965
pretrain,4,0.002,4716,1060.9056396484375,1946.9305419921875,4460.30517578125,848.72451171875,3568.244140625,0.07251908630132675,0.14312976598739624,0.2553010880947113,0.37319761514663696,0.45759117603302,3.480319404924238,510,1810.1475830078125,2496.6552734375,4391.55078125,1448.11806640625,3513.240625,0.04901960864663124,0.10784313827753067,0.18039216101169586,0.24705882370471954,0.29411765933036804,4.762301728129387
pretrain,5,0.002,4716,982.1571044921875,1862.339111328125,4294.18115234375,785.72568359375,3435.344921875,0.07782018929719925,0.14821882545948029,0.2618744671344757,0.3941899836063385,0.48346054553985596,3.2758645479743547,510,1043.2679443359375,1809.245849609375,4022.1484375,834.61435546875,3217.71875,0.05882352963089943,0.15490196645259857,0.2803921699523926,0.3764705955982208,0.4333333373069763,3.639551803469658
pretrain,6,0.002,4716,912.4472045898438,1773.372314453125,4214.044921875,729.957763671875,3371.2359375,0.0890585258603096,0.17408820986747742,0.2945292592048645,0.41772687435150146,0.5014843344688416,3.1596028208732605,510,1421.117431640625,2165.846435546875,4351.46142578125,1136.8939453125,3481.169140625,0.05098039284348488,0.10784313827753067,0.19019608199596405,0.2764706015586853,0.343137264251709,4.506732538342476
pretrain,7,0.002,4716,806.3126831054688,1619.4635009765625,3981.412109375,645.050146484375,3185.1296875,0.08842239528894424,0.1670907586812973,0.29919424653053284,0.43044954538345337,0.5184478163719177,3.0865731923966795,510,1262.441162109375,2047.531005859375,4274.212890625,1009.9529296875,3419.3703125,0.08039215952157974,0.1411764770746231,0.23137255012989044,0.3117647171020508,0.4019607901573181,3.961878314614296
pretrain,8,0.002,4716,805.3030395507812,1611.986083984375,3894.69091796875,644.242431640625,3115.752734375,0.094783715903759,0.1768447905778885,0.3170059323310852,0.4365988075733185,0.5182358026504517,3.057252859747088,510,1149.2947998046875,1912.05517578125,4474.6923828125,919.43583984375,3579.75390625,0.06862745434045792,0.11764705926179886,0.23137255012989044,0.3137255012989044,0.39411765336990356,4.049459636211395
pretrain,9,0.002,4716,770.7410278320312,1565.0616455078125,3771.6455078125,616.592822265625,3017.31640625,0.10178116708993912,0.19423240423202515,0.33100083470344543,0.45568278431892395,0.5345631837844849,2.9467786663287394,510,854.884521484375,1550.1097412109375,3727.759765625,683.9076171875,2982.2078125,0.10588235408067703,0.1882352977991104,0.32156863808631897,0.41960784792900085,0.4901960790157318,3.1579859778285027
pretrain,10,0.002,4716,737.1239624023438,1528.9315185546875,3762.91455078125,589.699169921875,3010.331640625,0.1115351989865303,0.20971162617206573,0.35877862572669983,0.4696776866912842,0.546013593673706,2.8722700822997735,510,966.0509643554688,1766.0677490234375,4369.85205078125,772.840771484375,3495.881640625,0.1196078434586525,0.20196078717708588,0.3333333432674408,0.4274509847164154,0.48235294222831726,3.126634493470192
